timestamp,test-class,test-method,time,description,result
2021-09-09 02:08:47.35,acme.testing.administrator.dashboard.AdministratorDashboardTests,administratorDashboardPositive,100938,"[1] recordIndex=0, numberPublicTasks=13, numberPrivateTasks=3, numberFinishedTasks=6, numberNonFinishedTasks=10, averageTaskExecPeriod=229.62, deviationTaskExecPeriod=162.37, maxTaskExecPeriod=528.00, minTaskExecPeriod=2.00, averageTaskWorkload=10.09, deviationTaskWorkload=6.56, maxTaskWorkload=20.00, minTaskWorkload=0.20, description=This is the oldest announcement in the system., end_date=2021/10/08 03:57, optional_link=http://www.sample-app.com, start_date=2021/10/08 01:57, title=Example task 16, visibility=PUBLIC, workload=1.0",OK
2021-09-09 02:10:31.651,acme.testing.administrator.dashboard.AdministratorDashboardTests,administratorDashboardPositive,99995,"[2] recordIndex=0, numberPublicTasks=13, numberPrivateTasks=4, numberFinishedTasks=6, numberNonFinishedTasks=11, averageTaskExecPeriod=216.24, deviationTaskExecPeriod=166.38, maxTaskExecPeriod=528.00, minTaskExecPeriod=2.00, averageTaskWorkload=9.50, deviationTaskWorkload=6.79, maxTaskWorkload=20.00, minTaskWorkload=0.10, description=This is the oldest announcement in the system., end_date=2021/10/08 03:58, optional_link=http://www.sample-app.com, start_date=2021/10/08 01:58, title=Example task 16, visibility=PRIVATE, workload=0.1",OK
2021-09-09 02:12:09.05,acme.testing.administrator.dashboard.AdministratorDashboardTests,administratorDashboardPositive,94095,"[3] recordIndex=0, numberPublicTasks=14, numberPrivateTasks=4, numberFinishedTasks=6, numberNonFinishedTasks=12, averageTaskExecPeriod=205.67, deviationTaskExecPeriod=167.46, maxTaskExecPeriod=528.00, minTaskExecPeriod=2.00, averageTaskWorkload=10.14, deviationTaskWorkload=7.10, maxTaskWorkload=21.00, minTaskWorkload=0.10, description=This is the oldest announcement in the system., end_date=2021/10/09 04:01, optional_link=http://www.sample-app.com, start_date=2021/10/08 02:01, title=Example task 16, visibility=PUBLIC, workload=21.00",OK
2021-09-09 02:12:32.669,acme.testing.administrator.dashboard.AdministratorDashboardTests,managerDashboardNegative,22320,"managerDashboardNegative()",OK
2021-09-09 02:12:41.466,acme.testing.administrator.dashboard.AdministratorDashboardTests,anonymousDashboardNegative,5518,"anonymousDashboardNegative()",OK
